Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,9.200000,10.280000,9.150000,9.300000,9.300000,120822992
2017-10-31,9.450000,9.520000,9.130000,9.360000,9.360000,54141934
2017-11-01,9.260000,10.420000,9.260000,10.100000,10.100000,38868750
2017-11-02,10.200000,12.480000,10.200000,12.460000,12.460000,63885676
2017-11-03,12.400000,12.720000,11.960000,12.500000,12.500000,28651861
2017-11-06,12.500000,13.120000,12.040000,12.580000,12.580000,25298644
2017-11-07,12.620000,12.740000,12.160000,12.660000,12.660000,14021280
2017-11-08,12.400000,12.500000,11.660000,12.160000,12.160000,27255000
2017-11-09,12.000000,12.160000,11.020000,11.400000,11.400000,20906718
2017-11-10,11.300000,11.300000,10.680000,10.760000,10.760000,12895718
2017-11-13,10.760000,10.860000,10.140000,10.320000,10.320000,15953110
2017-11-14,10.320000,10.320000,9.520000,9.800000,9.800000,22359734
2017-11-15,9.590000,10.500000,9.400000,9.880000,9.880000,10249000
2017-11-16,9.830000,9.990000,9.700000,9.780000,9.780000,7311884
2017-11-17,9.780000,9.800000,9.480000,9.640000,9.640000,8882000
2017-11-20,9.400000,9.600000,9.340000,9.500000,9.500000,11057816
2017-11-21,9.540000,9.880000,9.480000,9.590000,9.590000,8788711
2017-11-22,9.630000,9.800000,9.290000,9.330000,9.330000,10674648
2017-11-23,9.400000,9.570000,9.280000,9.320000,9.320000,6692092
2017-11-24,9.480000,9.500000,9.310000,9.360000,9.360000,1461000
2017-11-27,9.400000,9.710000,9.080000,9.090000,9.090000,8064073
2017-11-28,9.130000,9.140000,8.680000,8.810000,8.810000,13531879
2017-11-29,8.800000,8.880000,8.500000,8.670000,8.670000,8132500
2017-11-30,8.700000,8.700000,8.260000,8.350000,8.350000,12305945
2017-12-01,8.390000,8.460000,8.250000,8.450000,8.450000,7853256
2017-12-04,8.450000,8.690000,8.330000,8.510000,8.510000,5654000
2017-12-05,8.550000,8.550000,8.430000,8.520000,8.520000,3287314
2017-12-06,8.580000,8.580000,8.100000,8.130000,8.130000,10863465
2017-12-07,8.130000,8.150000,7.900000,7.940000,7.940000,9793803
2017-12-08,7.900000,8.230000,7.770000,8.200000,8.200000,9907592
2017-12-11,8.440000,8.480000,8.070000,8.460000,8.460000,11278000
2017-12-12,8.400000,8.800000,8.320000,8.690000,8.690000,9409500
2017-12-13,8.690000,9.280000,8.620000,9.270000,9.270000,9729100
2017-12-14,9.000000,9.200000,8.950000,9.020000,9.020000,6871335
2017-12-15,8.980000,9.110000,8.600000,9.050000,9.050000,9307703
2017-12-18,9.000000,9.090000,8.910000,8.970000,8.970000,3783500
2017-12-19,8.950000,9.000000,8.830000,8.860000,8.860000,2818586
2017-12-20,8.830000,8.920000,8.740000,8.810000,8.810000,1351500
2017-12-21,8.850000,8.980000,8.780000,8.950000,8.950000,4737047
2017-12-22,8.960000,9.000000,8.850000,8.870000,8.870000,4084509
2017-12-27,8.870000,8.870000,8.870000,8.870000,8.870000,0
